trial_no,y1,y2,x,y
151,0.13499635551707692,48.19665657952463,0.18370925093546386,0.0
91,0.38648440193083017,46.98822761698183,0.3108393483500883,0.0
150,1.0892952873067963,45.053858321062144,0.521846550076456,0.0
88,1.7377168187051266,43.8433048341589,0.6591124370517383,0.0
9,1.9708492528141937,43.47336538344186,0.7019346929761688,0.0
2,2.1537291489524404,43.20063774638246,0.7337794540855652,0.0
1,4.000001308159884,40.994281586172725,0.0005718740867244332,1.0
157,4.01140325967091,40.46892058373321,0.05339302311845201,1.0
90,4.0889770401388805,39.53079328750093,0.14914509725337988,1.0
155,4.403930515972765,37.92320622098096,0.31777764080122317,1.0
156,4.405605196989094,37.917044233099176,0.3184357066148103,1.0
84,6.225167576380137,34.09779409564369,0.7458497798451336,1.0
101,6.654384204006375,33.51745554766141,0.8146140503340179,1.0
78,6.859367294301771,33.26000992947227,0.8454831894103174,1.0
70,7.02837137060386,33.05598462213695,0.8701108220514011,1.0
71,7.075632743918668,33.000167193227824,0.8768740992751849,1.0
3,7.4692866342454645,32.55431108967782,0.9313010568883545,1.0
31,8.357062688686035,31.652476548252654,1.0436789123918855,1.0
127,8.424085187484858,31.589266584170083,1.051675471270113,1.0
34,10.628018866741012,29.784535191822307,1.2872469524862946,1.0
32,11.53485081779035,29.15887134125658,1.3724841363191005,1.0
104,12.696825760208974,28.429015901940353,1.4745190538111888,1.0
141,13.721785355423782,27.840557503922113,1.5589888834933832,1.0
73,14.737551614218678,27.300286147417197,1.638410175613747,1.0
118,15.394885527926618,26.97056573042525,1.6878155651556406,1.0
143,15.413014750343494,26.96167682932343,1.6891576858262445,1.0
94,15.685304390160491,26.829438847911653,1.709188724962847,1.0
30,16.979792733148926,26.23120847358999,1.8013739709697238,1.0
192,17.653311133442998,25.93813418935273,1.847519359400802,1.0
95,18.073489070270966,25.761047651387155,1.8757324616180586,1.0
86,18.15478723532759,25.727272596848643,1.8811424211983254,1.0
190,18.319790016309895,25.6591983009474,1.8920749203130076,1.0
194,19.00987641183243,25.38117822455223,1.9371290878405878,1.0
111,19.56942248380637,25.163301865255164,1.9729053755696426,1.0
97,19.740552594152376,25.097955514559814,1.9837182633978279,1.0
123,19.92861208061644,25.02682034902555,1.9955332671128563,1.0
87,20.017186401910596,24.982836624617597,1.002145997586005,2.0
191,20.127018030872318,24.95252517061931,2.007922933709877,1.0
72,21.048768382761107,24.027459808313438,1.123473228737684,2.0
158,21.077002943977952,24.003147878331205,1.1266102857663283,2.0
148,21.8768943881632,23.348070198783688,1.2121153398257114,2.0
39,21.932460352296502,23.30479382414729,1.2178321263926837,2.0
61,21.974820264888738,23.27198233077206,1.2221722735450125,2.0
54,22.212321009591932,23.09081620288441,1.246226404951357,2.0
89,22.665314264950936,22.757693602626226,1.2908634963611507,2.0
174,23.319122386253508,22.30284230083889,1.3526938295724487,2.0
186,23.559418295669804,22.142656408773213,1.3747198165144239,2.0
172,23.64044841598941,22.08943157083491,1.3820680533162442,2.0
108,23.907539186398147,21.916711267800057,1.406017352879948,2.0
147,24.010056709740915,21.851492385934698,1.4151021791500529,2.0
16,25.043830307214847,21.224476682645957,1.5036480894157753,2.0
178,25.169958954906942,21.1515196947476,1.5140970043979136,2.0
49,26.596613720266106,20.37293326054766,1.6276220169518862,2.0
106,26.615104343514858,20.363361462921095,1.629041462295762,2.0
124,29.771021807694666,18.888091747281464,1.85546637046422,2.0
66,31.261513042205017,18.282384991338127,1.953299326921313,2.0
4,31.742442860738535,18.097237003651138,1.9838373711533497,2.0
0,33.39073524061537,17.49658357502514,2.08511002351287,2.0
8,33.41432980786669,17.488342333610323,2.086524011835635,2.0
5,33.572404090581415,17.433375302480613,2.095972572016474,2.0
52,33.67875081042362,17.396634397707718,2.102305330489819,2.0
69,34.89972426936866,16.988024508813268,2.17369065585289,2.0
199,37.20848709685524,16.275785169764962,2.3026336604448847,2.0
119,37.715192252920815,16.129016812690097,2.329978125054011,2.0
33,37.92480078024806,16.069237024362263,2.341196317069975,2.0
103,37.953548011680695,16.061080279952265,2.3427306722967907,2.0
112,38.07528131800473,16.026650720243754,2.3492169609257427,2.0
196,39.26302794151778,15.69987635584521,2.4115880629534234,2.0
129,39.47922117156995,15.642124238172276,2.422768105472021,2.0
46,40.5264472353474,15.369520199207322,2.4762091609629526,2.0
55,41.09654392256424,15.225910533234494,2.5048225447406565,2.0
77,43.3577332224902,14.687123071873506,2.6152310233749043,2.0
43,43.74581058925335,14.599306546580749,2.633714610073259,2.0
167,44.05950491033708,14.529264609982778,2.648561161760149,2.0
139,44.56947878778385,14.417157449059207,2.6725212247886754,2.0
64,45.70637496094143,14.17481629318549,2.725177744704987,2.0
126,46.59719869958577,13.991932347371499,2.765736732752494,2.0
115,46.60667796915054,13.990018253998127,2.7661651238289506,2.0
37,46.831551669436166,13.944804663946712,2.776308325341233,2.0
176,47.345225713421925,13.84290286902479,2.799340355933069,2.0
76,49.15673086359513,13.498241925610628,2.8790940790288153,2.0
35,49.61099522439067,13.415253560565212,2.8987495245532457,2.0
48,49.75960478407467,13.388393152513135,2.905150804350553,2.0
60,51.05348657261944,13.160379153957319,2.960299248919754,2.0
51,52.596682931639045,12.90157457567809,3.024759615723167,2.0
165,52.726059759163896,12.732762068794234,2.044875287099674,3.0
116,54.20285320973318,12.21831235356377,2.1332400948869523,3.0
182,54.65535660543341,12.067915574538693,2.159592357681966,3.0
195,54.6945928590514,12.055026115371662,2.1618622099391187,3.0
161,55.41315642926754,11.8231072939117,2.2030181813405183,3.0
180,55.86747248193729,11.680396617609933,2.228647150287439,3.0
58,56.14165738496043,11.595685412404682,2.2439728933835426,3.0
42,56.414768995832695,11.512339370128242,2.259135287882993,3.0
109,58.06917230182512,11.028374250920569,2.348891882453571,3.0
27,59.03278618242332,10.761954036400706,2.3996242509205126,3.0
80,59.29879851495619,10.690285136692534,2.4134414492046514,3.0
160,59.787127078891615,10.56075755558971,2.4386024214133193,3.0
68,59.88241506164245,10.535784827242455,2.4434818938168155,3.0
173,61.134772034346796,10.216397564947991,2.506729544363871,3.0
131,61.95858665989444,10.01486174934849,2.547478491562512,3.0
175,63.03969905635571,9.76006944893587,2.5999855315153058,3.0
20,64.57647146402479,9.415635181786735,2.672848268421946,3.0
120,64.63871541728363,9.40210262940676,2.675757622491415,3.0
144,67.38734740590496,8.834630848599136,2.8012206002877105,3.0
14,67.46224750256145,8.819952815325124,2.804560906031524,3.0
47,68.58272897535863,8.605040618536876,2.8540641625302783,3.0
170,69.40742407091801,8.452278135467099,2.8899577882262406,3.0
134,71.22651258101266,8.130664563166796,2.967596358208637,3.0
179,71.65444992747297,8.05793884708277,2.9855673634785473,3.0
63,74.78555814853661,7.5573633206094115,3.113902621652474,3.0
132,76.08829639173219,7.364414522511103,3.1657659575421944,3.0
171,76.11282549345759,7.3608629840549655,3.1667343389309432,3.0
138,77.20217792724725,7.206083149968567,3.2094461331843247,3.0
185,78.62843364676367,7.01188148386743,3.2645226927823487,3.0
140,79.40208808659833,6.910391448669788,3.2940130572979793,3.0
40,81.80027040643455,6.612119079854786,3.383794852175385,3.0
163,81.83600704709255,6.607854422616171,3.385114733915697,3.0
193,82.63649494464453,6.513664687905342,3.414545904825579,3.0
17,85.69974456978156,6.175913258902376,3.5249022883543013,3.0
177,86.85743572297613,6.057159193882988,3.5657199736861047,3.0
142,87.04813305971697,6.038045154796238,3.5723988110133003,3.0
12,87.7570642286259,5.96807472693157,3.59711913302249,3.0
133,89.66126807335033,5.78839110537352,3.6626925912964063,3.0
29,90.4012980899181,5.721706703369865,3.687861781910966,3.0
145,93.79232034850389,5.437449880398313,3.801063020672766,3.0
23,98.19040637624155,5.117154482646107,3.943044711141428,3.0
130,98.32036161444205,5.108467174244188,3.947162322936632,3.0
168,102.59419809374769,4.84591538857141,4.080263413486551,3.0
11,105.62721210274995,4.6853420904715595,4.172146093521593,3.0
